semimajor_axis,eccentricity,file_name,cluster_index
1.981929990182480e+05,3.219999548405014e-02,10051.csv,1
1.981939990182430e+05,3.219999548404993e-02,10052.csv,1
1.981949990182380e+05,3.219999548404930e-02,10053.csv,1
1.981959990182330e+05,3.219999548404975e-02,10054.csv,1
1.981969990182280e+05,3.219999548404955e-02,10055.csv,1
1.980119990178560e+05,3.289999548160279e-02,10056.csv,0
1.981019990174100e+05,3.289999548160398e-02,10057.csv,1
1.981979990117620e+05,3.569999547184653e-02,10058.csv,1
1.981989990117570e+05,3.569999547184637e-02,10059.csv,1
1.981849990710970e+05,2.799995588904608e-03,1006.csv,0
1.981999990117520e+05,3.569999547184702e-02,10060.csv,0
1.982009990117470e+05,3.569999547184674e-02,10061.csv,1
1.982019990117420e+05,3.569999547184612e-02,10062.csv,1
1.982029990117370e+05,3.569999547184676e-02,10063.csv,1
1.982039990117320e+05,3.569999547184632e-02,10064.csv,0
1.982049990117270e+05,3.569999547184698e-02,10065.csv,1
1.982059990117220e+05,3.569999547184612e-02,10066.csv,1
1.982069990117170e+05,3.569999547184616e-02,10067.csv,1
1.981029990174050e+05,3.289999548160328e-02,10068.csv,1
1.982079990117120e+05,3.569999547184611e-02,10069.csv,1
1.981859990710920e+05,2.799995588904804e-03,1007.csv,0
1.982089990117070e+05,3.569999547184616e-02,10070.csv,0
1.982099990117020e+05,3.569999547184656e-02,10071.csv,1
1.981039990174000e+05,3.289999548160329e-02,10072.csv,1
1.981049990173950e+05,3.289999548160333e-02,10073.csv,1
1.981059990173900e+05,3.289999548160352e-02,10074.csv,1
1.981069990173850e+05,3.289999548160372e-02,10075.csv,1
1.981079990173800e+05,3.289999548160413e-02,10076.csv,2
1.981089990173750e+05,3.289999548160353e-02,10077.csv,1
1.981099990173700e+05,3.289999548160289e-02,10078.csv,1
1.981109990173650e+05,3.289999548160372e-02,10079.csv,1
1.981869990710880e+05,2.799995588904852e-03,1008.csv,0
1.980129990178510e+05,3.289999548160343e-02,10080.csv,0
1.981119990173600e+05,3.289999548160352e-02,10081.csv,1
1.981129990173550e+05,3.289999548160413e-02,10082.csv,1
1.981139990173500e+05,3.289999548160413e-02,10083.csv,1
1.981149990173450e+05,3.289999548160392e-02,10084.csv,1
1.981159990173400e+05,3.289999548160388e-02,10085.csv,1
1.981169990173350e+05,3.289999548160354e-02,10086.csv,1
1.981179990173300e+05,3.289999548160416e-02,10087.csv,1
1.981189990173250e+05,3.289999548160351e-02,10088.csv,1
1.981199990173200e+05,3.289999548160352e-02,10089.csv,2
1.981009990763850e+05,4.662344459217820e-09,1009.csv,3
1.981209990173150e+05,3.289999548160333e-02,10090.csv,2
1.980139990178460e+05,3.289999548160321e-02,10091.csv,0
1.981219990173100e+05,3.289999548160350e-02,10092.csv,2
1.981229990173050e+05,3.289999548160328e-02,10093.csv,2
1.981239990173010e+05,3.289999548160373e-02,10094.csv,2
1.981249990172950e+05,3.289999548160349e-02,10095.csv,2
1.981259990172900e+05,3.289999548160304e-02,10096.csv,2
1.981269990172860e+05,3.289999548160329e-02,10097.csv,2
1.981279990172810e+05,3.289999548160440e-02,10098.csv,2
1.981289990172760e+05,3.289999548160392e-02,10099.csv,2
1.981669990760770e+05,4.662343904175693e-09,101.csv,1
1.981879990710830e+05,2.799995588905045e-03,1010.csv,0
1.981299990172710e+05,3.289999548160392e-02,10100.csv,2
1.981309990172660e+05,3.289999548160348e-02,10101.csv,2
1.980149990178410e+05,3.289999548160253e-02,10102.csv,0
1.981319990172610e+05,3.289999548160306e-02,10103.csv,2
1.981329990172560e+05,3.289999548160305e-02,10104.csv,2
1.981339990172510e+05,3.289999548160350e-02,10105.csv,2
1.981349990172460e+05,3.289999548160350e-02,10106.csv,2
1.981359990172410e+05,3.289999548160414e-02,10107.csv,2
1.981369990172360e+05,3.289999548160330e-02,10108.csv,2
1.981379990172310e+05,3.289999548160389e-02,10109.csv,2
1.981889990710780e+05,2.799995588905017e-03,1011.csv,0
1.981389990172260e+05,3.289999548160329e-02,10110.csv,2
1.981399990172210e+05,3.289999548160366e-02,10111.csv,2
1.981409990172160e+05,3.289999548160347e-02,10112.csv,2
1.980159990178360e+05,3.289999548160339e-02,10113.csv,0
1.981419990172110e+05,3.289999548160367e-02,10114.csv,2
1.981429990172060e+05,3.289999548160390e-02,10115.csv,2
1.981439990172010e+05,3.289999548160371e-02,10116.csv,2
1.981449990171960e+05,3.289999548160413e-02,10117.csv,2
1.981459990171920e+05,3.289999548160432e-02,10118.csv,2
1.981469990171870e+05,3.289999548160452e-02,10119.csv,2
1.981899990710740e+05,2.799995588904822e-03,1012.csv,0
1.981479990171820e+05,3.289999548160410e-02,10120.csv,2
1.981489990171760e+05,3.289999548160368e-02,10121.csv,2
1.981499990171710e+05,3.289999548160324e-02,10122.csv,2
1.981509990171670e+05,3.289999548160345e-02,10123.csv,2
1.980169990178310e+05,3.289999548160304e-02,10124.csv,0
1.981519990171620e+05,3.289999548160389e-02,10125.csv,2
1.981529990171570e+05,3.289999548160370e-02,10126.csv,1
1.981539990171520e+05,3.289999548160367e-02,10127.csv,1
1.981549990171470e+05,3.289999548160365e-02,10128.csv,1
1.981559990171420e+05,3.289999548160347e-02,10129.csv,2
1.981909990710690e+05,2.799995588905246e-03,1013.csv,0
1.981569990171370e+05,3.289999548160412e-02,10130.csv,2
1.981579990171320e+05,3.289999548160392e-02,10131.csv,1
1.981589990171270e+05,3.289999548160349e-02,10132.csv,1
1.981599990171220e+05,3.289999548160474e-02,10133.csv,1
1.981609990171170e+05,3.289999548160408e-02,10134.csv,1
1.980179990178260e+05,3.289999548160277e-02,10135.csv,0
1.981619990171120e+05,3.289999548160408e-02,10136.csv,1
1.981629990171070e+05,3.289999548160410e-02,10137.csv,1
1.981639990171020e+05,3.289999548160426e-02,10138.csv,1
1.981649990170970e+05,3.289999548160385e-02,10139.csv,1
1.981919990710640e+05,2.799995588904838e-03,1014.csv,0
