owndeg1,owndeg2,owndeg3,owndeg4
0.969504848600466,0.0304951513995338,1.34721510506401e-311,1.34721510506401e-311
1.00505463756145e-311,1.00505463756145e-311,1.00505463756145e-311,1
1,9.28491496411676e-312,9.28491496411676e-312,9.28491496411676e-312
0.99991500153132,1.17638002497827e-06,9.73969678104269e-312,8.38220886548104e-05
0.999700525113761,0.000299474886239155,8.86450968840175e-312,8.86450968840175e-312
0.000205040261362308,0.069158073202265,0.930636886536373,1.170978366161e-311
0.000253403876610065,0.999529712848538,0.000216883274851992,8.33478020827976e-312
0.00635870545299968,0.141533375041835,0.852107919505166,1.2478957583269e-311
0.010919087650478,0.24723936678114,0.741841545568382,1.31221513345873e-311
0.0138687825971661,0.376778736522374,0.6093517371278,7.4375265995344e-07
0.0155875455264258,0.519018961159504,0.46539349331407,1.35150831619976e-311
0.0248518236029677,0.648851657295951,0.326296519101081,1.3222381578967e-311
0.0244248191663455,0.771437393562869,0.204137787270785,1.26447447168591e-311
0.023861706286412,0.864374258136707,0.111764035576881,1.18381703216466e-311
0.0205442501315015,0.928157942102768,0.05129780776573,1.10175193835229e-311
0.999759277375238,0.000240722624761614,8.82016597617848e-312,8.82016597617848e-312
0.0176485797134346,0.964260750313385,0.0180906699731804,1.02243340783265e-311
0.0134805739435617,0.981184555058117,0.0053348709983212,9.57682877695012e-312
0.000732745692813453,0.999056589198576,0.000210665108610491,8.35458610571171e-312
0.0107526334350194,0.987990034410137,0.00125733215484442,9.11710626751381e-312
0.00136464265775959,0.998323281641681,0.000312075700559683,8.82113612679584e-312
0.000771061636996893,0.99904412010295,0.000184818260052967,8.61428276431162e-312
0.000457396296388454,0.999303445639415,0.000239158064197031,8.48212253657252e-312
0.000119125642945709,0.999544145202706,0.000336729154348616,8.39051400476014e-312
1.25473129070674e-06,0.999761401085891,0.00023734418281826,8.34196903042094e-312
1.413628721617e-06,0.999843073582931,0.000155512788347399,8.31286464554507e-312
0.999770697749381,0.000229302250619075,8.77546500934556e-312,8.77546500934556e-312
1.75760842356341e-07,0.999798461028417,0.000201363210740567,8.30979387147589e-312
8.29915810112912e-07,0.999853088771931,0.00014608131225937,8.31489055188405e-312
1.12995084267924e-06,0.999843289549668,0.000155580499489328,8.33391299912012e-312
0.00190292043931564,0.997961129766962,0.000135949793722895,8.38676351973048e-312
0.000394814931614836,0.999527247646028,7.79374223568364e-05,8.36933328350853e-312
8.40064209386243e-312,0.999901025959027,9.89740409732321e-05,8.40064209386243e-312
1.31201859428157e-07,0.999893848722598,0.000106020075542904,8.456619334263e-312
1.94932378803467e-07,0.999947293258822,5.25118087996393e-05,8.51286562790833e-312
