semimajor_axis,eccentricity,file_name,cluster_index
198011.9990768,4.66234545835828e-09,0.csv,0
198101.99907638,4.66234479228989e-09,1.csv,3
198205.999070999,0.00279999558890519,10.csv,0
198165.999076082,4.66234412619253e-09,100.csv,1
198178.999071125,0.0027999955889048,1000.csv,1
198146.999018475,0.0321999954840494,10000.csv,2
198096.999023862,0.0293999954938559,10001.csv,1
198147.99901847,0.0321999954840496,10002.csv,2
198148.999018465,0.0321999954840494,10003.csv,2
198149.999018461,0.0321999954840493,10004.csv,2
198150.999018456,0.0321999954840496,10005.csv,2
198151.999018451,0.0321999954840494,10006.csv,1
198152.999018446,0.03219999548405,10007.csv,1
198153.999018441,0.0321999954840492,10008.csv,1
198154.999018436,0.0321999954840498,10009.csv,1
198179.99907112,0.00279999558890439,1001.csv,0
198155.999018431,0.0321999954840496,10010.csv,1
198156.999018426,0.03219999548405,10011.csv,1
198097.999023857,0.0293999954938563,10012.csv,1
198157.999018421,0.0321999954840495,10013.csv,1
198158.999018416,0.03219999548405,10014.csv,1
198159.999018411,0.0321999954840494,10015.csv,1
198160.999018406,0.0321999954840498,10016.csv,1
198161.999018401,0.0321999954840493,10017.csv,1
198162.999018396,0.0321999954840489,10018.csv,1
198163.999018391,0.0321999954840491,10019.csv,1
198180.999071116,0.00279999558890483,1002.csv,0
198164.999018386,0.0321999954840498,10020.csv,1
198165.999018381,0.0321999954840495,10021.csv,1
198166.999018376,0.0321999954840495,10022.csv,1
198098.999023852,0.0293999954938568,10023.csv,1
198167.999018371,0.0321999954840502,10024.csv,1
198168.999018366,0.0321999954840498,10025.csv,1
198169.999018361,0.0321999954840497,10026.csv,1
198170.999018357,0.0321999954840499,10027.csv,1
198171.999018351,0.0321999954840493,10028.csv,1
198172.999018347,0.0321999954840497,10029.csv,1
198181.999071111,0.00279999558890483,1003.csv,0
198173.999018342,0.0321999954840493,10030.csv,1
198174.999018337,0.0321999954840497,10031.csv,1
198175.999018332,0.0321999954840499,10032.csv,1
198176.999018327,0.0321999954840493,10033.csv,1
198099.999023847,0.029399995493857,10034.csv,1
198177.999018322,0.03219999548405,10035.csv,1
198178.999018317,0.0321999954840493,10036.csv,1
198179.999018312,0.03219999548405,10037.csv,1
198180.999018307,0.0321999954840497,10038.csv,1
198181.999018302,0.0321999954840502,10039.csv,1
198182.999071106,0.00279999558890443,1004.csv,0
198182.999018297,0.0321999954840499,10040.csv,1
198183.999018292,0.0321999954840495,10041.csv,1
198184.999018287,0.0321999954840502,10042.csv,1
198185.999018282,0.0321999954840497,10043.csv,1
198186.999018277,0.0321999954840495,10044.csv,1
198100.999023842,0.0293999954938567,10045.csv,1
198187.999018272,0.0321999954840499,10046.csv,1
198188.999018267,0.03219999548405,10047.csv,1
198189.999018262,0.0321999954840497,10048.csv,1
198190.999018257,0.0321999954840493,10049.csv,1
198183.999071102,0.00279999558890414,1005.csv,0
198191.999018253,0.0321999954840499,10050.csv,1
198192.999018248,0.0321999954840501,10051.csv,1
198193.999018243,0.0321999954840499,10052.csv,1
198194.999018238,0.0321999954840493,10053.csv,1
198195.999018233,0.0321999954840497,10054.csv,1
198196.999018228,0.0321999954840496,10055.csv,1
198011.999017856,0.0328999954816028,10056.csv,0
198101.99901741,0.032899995481604,10057.csv,1
198197.999011762,0.0356999954718465,10058.csv,1
198198.999011757,0.0356999954718464,10059.csv,1
198184.999071097,0.00279999558890461,1006.csv,0
198199.999011752,0.035699995471847,10060.csv,1
198200.999011747,0.0356999954718467,10061.csv,1
